Sr,Proc_ID,SAS9_Proc,SAS9_Prod,SAS9_Proc_Cat,SAS9_Office_Analytics,SAS9_Analytics_Pro,SASV_Proc,SASV_Prod,SAS Visual Machine Learning,SAS Visual Data Science,SAS Data Science Programming*,SAS Visual Data Science Decisioning,SASV_Proc_Cat,SASV_CLD_PRD_ADDON,Open_Source_Mapping,Azure_Prod,AWS_Prod,GCP_Prod
185,PROC_185,HPFSELECT,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
186,PROC_186,HPFTEMPRECON,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
187,PROC_187,HPFUCMSPEC,SAS Forecast Server,Advanced Analytics,,,,,,,,,,,,,,
188,PROC_188,HPGENSELECT,SAS/STAT,Analytics,Y,Y,HPGENSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
189,PROC_189,HPIMPUTE,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
190,PROC_190,HPLMIXED,SAS/STAT,Analytics,Y,Y,HPLMIXED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
191,PROC_191,HPLOGISTIC,SAS/STAT,Analytics,Y,Y,HPLOGISTIC,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
192,PROC_192,HPMIXED,SAS/STAT,Analytics,Y,Y,HPMIXED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
193,PROC_193,HPNEURAL,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
194,PROC_194,HPNLMOD,SAS/STAT,Analytics,Y,Y,HPNLMOD,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
195,PROC_195,HPPANEL,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
196,PROC_196,HPPLS,SAS/STAT,Analytics,Y,Y,HPPLS,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
197,PROC_197,HPPRINCOMP,SAS/STAT,Analytics,Y,Y,HPPRINCOMP,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
198,PROC_198,HPQLIM,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
199,PROC_199,HPQUANTSELECT,SAS/STAT,Analytics,Y,Y,HPQUANTSELECT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
200,PROC_200,HPREDUCE,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
201,PROC_201,HPREG,SAS/STAT,Analytics,Y,Y,HPREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
202,PROC_202,HPRISK,SAS High-Performance Risk,Advanced Analytics,,,,,,,,,,,,,,
203,PROC_203,HPSAMPLE,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
204,PROC_204,HPSEVERITY,SAS/ETS,Advanced Analytics,,,,,,,,,,,,,,
205,PROC_205,HPSPLIT,SAS/STAT,Analytics,Y,Y,HPSPLIT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
206,PROC_206,HPSUMMARY,Base SAS High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
207,PROC_207,HPSVM,SAS Enterprise Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
208,PROC_208,HPTMINE,SAS Text Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
209,PROC_209,HPTMSCORE,SAS Text Miner High-Performance Procedures,Advanced Analytics,,,,,,,,,,,,,,
210,PROC_210,HTSNP,SAS/Genetics,Advanced Analytics,,,,,,,,,,,,,,
211,PROC_211,HTTP,Base SAS,Data Management,Y,Y,HTTP,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
212,PROC_212,ICA,SAS Visual Statistics,Advanced Analytics,,,ICA,SAS Visual Statistics ,Y,Y,Y,Y,Advanced Analytics,,,,,
213,PROC_213,ICLIFETEST,SAS/STAT,Analytics,Y,Y,ICLIFETEST,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
214,PROC_214,ICPHREG,SAS/STAT,Analytics,Y,Y,ICPHREG,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
215,PROC_215,IML,SAS/IML,Advanced Analytics,,,IML,,,,,,Advanced Analytics,SAS/IML,,,,
216,PROC_216,IMPORT,Base SAS,Data Management,Y,Y,IMPORT,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
217,PROC_217,IMSTAT,SAS LASR Analytic Server,Advanced Data Management,,,,,,,,,,,,,,
218,PROC_218,IMXFER,SAS LASR Analytic Server,Advanced Data Management,,,,,,,,,,,,,,
219,PROC_219,INBREED,SAS/STAT,Analytics,Y,Y,INBREED,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
220,PROC_220,INFOMAPS,Base SAS,Reporting,Y,Y,,,,,,,,,,,,
221,PROC_221,IOMOPERATE,SAS Integration Technologies,SAS ENV,,,,,,,,,,,,,,
222,PROC_222,IRT,SAS/STAT,Analytics,Y,Y,IRT,SAS Visual Statistics ,Y,Y,Y,Y,Analytics,,,,,
223,PROC_223,ISHIKAWA,SAS/QC,Advanced Analytics,,,ISHIKAWA,,,,,,Advanced Analytics,SAS/QC,,,,
224,PROC_224,ITEMS,Base SAS,Data Management,Y,Y,,,,,,,,,,,,
225,PROC_225,JAVAINFO,Base SAS,SAS ENV,Y,Y,JAVAINFO,SAS Studio,Y,Y,Y,Y,SAS ENV,,,,,
226,PROC_226,JSON,Base SAS,Data Management,Y,Y,JSON,SAS Studio,Y,Y,Y,Y,Data Management,,,,,
